Level,Power,Gold,Currency,Sum Gold,Eff,Multiplier,Pow Increment,Eff Decrement,,
1,40,0,Diamond,0,1,10,10,0.9330329915,Ship mới mở khóa thì Level 1. Power là:,40
2,50,140,Gold,140,0.9330329915,,,,"Từ level 1, nhận X gold sang Level 2. X là:",140
3,60,150,Gold,290,0.8705505633,,,,"Sang level 2, power là:",50
4,70,170,Gold,460,0.8122523964,,,,Level N -> Nhận Gold -> Sang level N+1.,
5,80,190,Gold,650,0.7578582833,,,,,
6,90,220,Gold,870,0.7071067812,,,,,
7,100,240,Gold,1110,0.6597539554,,,,,
8,110,270,Gold,1380,0.6155722067,,,,,
9,120,300,Gold,1680,0.5743491775,,,,,
10,130,340,Gold,2020,0.5358867313,,,,,
11,140,370,Gold,2390,0.5,,,,,
12,150,420,Gold,2810,0.4665164958,,,,,
13,160,460,Gold,3270,0.4352752816,,,,,
14,170,510,Gold,3780,0.4061261982,,,,,
15,180,560,Gold,4340,0.3789291416,,,,,
16,190,620,Gold,4960,0.3535533906,,,,,
17,200,690,Gold,5650,0.3298769777,,,,,
18,210,760,Gold,6410,0.3077861033,,,,,
19,220,840,Gold,7250,0.2871745887,,,,,
20,230,920,Gold,8170,0.2679433656,,,,,
21,240,1020,Gold,9190,0.25,,,,,
22,250,1120,Gold,10310,0.2332582479,,,,,
23,260,1230,Gold,11540,0.2176376408,,,,,
24,270,1350,Gold,12890,0.2030630991,,,,,
25,280,1480,Gold,14370,0.1894645708,,,,,
26,290,1630,Gold,16000,0.1767766953,,,,,
27,300,1780,Gold,17780,0.1649384888,,,,,
28,310,1960,Gold,19740,0.1538930517,,,,,
29,320,2140,Gold,21880,0.1435872944,,,,,
30,330,2350,Gold,24230,0.1339716828,,,,,
31,340,2570,Gold,26800,0.125,,,,,
32,350,2810,Gold,29610,0.1166291239,,,,,
33,360,3070,Gold,32680,0.1088188204,,,,,
34,370,3360,Gold,36040,0.1015315495,,,,,
35,380,3670,Gold,39710,0.09473228541,,,,,
36,390,4010,Gold,43720,0.08838834765,,,,,
37,400,4380,Gold,48100,0.08246924442,,,,,
38,410,4780,Gold,52880,0.07694652583,,,,,
39,420,5220,Gold,58100,0.07179364719,,,,,
40,430,5690,Gold,63790,0.06698584141,,,,,
41,440,6210,Gold,70000,0.0625,,,,,
42,450,6770,Gold,76770,0.05831456197,,,,,
43,460,7380,Gold,84150,0.05440941021,,,,,
44,470,8040,Gold,92190,0.05076577477,,,,,
45,480,8760,Gold,100950,0.0473661427,,,,,
46,490,9540,Gold,110490,0.04419417382,,,,,
47,500,10380,Gold,120870,0.04123462221,,,,,
48,510,11300,Gold,132170,0.03847326292,,,,,
49,520,12300,Gold,144470,0.03589682359,,,,,
50,530,13380,Gold,157850,0.0334929207,,,,,
51,540,14560,Gold,172410,0.03125,,,,,
52,550,15830,Gold,188240,0.02915728099,,,,,
53,560,17210,Gold,205450,0.0272047051,,,,,
54,570,18710,Gold,224160,0.02538288739,,,,,
55,580,20340,Gold,244500,0.02368307135,,,,,
56,590,22100,Gold,266600,0.02209708691,,,,,
57,600,24010,Gold,290610,0.02061731111,,,,,
58,610,26090,Gold,316700,0.01923663146,,,,,
59,620,28330,Gold,345030,0.0179484118,,,,,
60,630,30760,Gold,375790,0.01674646035,,,,,
61,640,33400,Gold,409190,0.015625,,,,,
62,650,36260,Gold,445450,0.01457864049,,,,,
63,660,39350,Gold,484800,0.01360235255,,,,,
64,670,42700,Gold,527500,0.01269144369,,,,,
65,680,46340,Gold,573840,0.01184153568,,,,,
66,690,50270,Gold,624110,0.01104854346,,,,,
67,700,54520,Gold,678630,0.01030865555,,,,,
68,710,59130,Gold,737760,0.009618315729,,,,,
69,720,64120,Gold,801880,0.008974205898,,,,,
70,730,69530,Gold,871410,0.008373230176,,,,,
71,740,75370,Gold,946780,0.0078125,,,,,
72,750,81700,Gold,1028480,0.007289320246,,,,,
73,760,88550,Gold,1117030,0.006801176276,,,,,
74,770,95960,Gold,1212990,0.006345721847,,,,,
75,780,103980,Gold,1316970,0.005920767838,,,,,
76,790,112660,Gold,1429630,0.005524271728,,,,,
77,800,122040,Gold,1551670,0.005154327776,,,,,
78,810,132190,Gold,1683860,0.004809157865,,,,,
79,820,143170,Gold,1827030,0.004487102949,,,,,
80,830,155050,Gold,1982080,0.004186615088,,,,,
81,840,167890,Gold,2149970,0.00390625,,,,,
82,850,181780,Gold,2331750,0.003644660123,,,,,
83,860,196800,Gold,2528550,0.003400588138,,,,,
84,870,213030,Gold,2741580,0.003172860923,,,,,
85,880,230580,Gold,2972160,0.002960383919,,,,,
86,890,249560,Gold,3221720,0.002762135864,,,,,
87,900,270070,Gold,3491790,0.002577163888,,,,,
88,910,292240,Gold,3784030,0.002404578932,,,,,
89,920,316200,Gold,4100230,0.002243551475,,,,,
90,930,342090,Gold,4442320,0.002093307544,,,,,
91,940,370070,Gold,4812390,0.001953125,,,,,
92,950,400310,Gold,5212700,0.001822330062,,,,,
93,960,432980,Gold,5645680,0.001700294069,,,,,
94,970,468270,Gold,6113950,0.001586430462,,,,,
95,980,506410,Gold,6620360,0.001480191959,,,,,
96,990,547600,Gold,7167960,0.001381067932,,,,,
97,1000,592100,Gold,7760060,0.001288581944,,,,,
98,1010,640170,Gold,8400230,0.001202289466,,,,,
99,1020,692090,Gold,9092320,0.001121775737,,,,,
100,1030,748160,Gold,9840480,0.001046653772,,,,,
